54
10,100
11,200
12,600
13,400
14,500
15,200
16,300
20,700
21,600
22,4000
23,300
24,200
25,200
26,100
30,700
31,600
32,400
33,300
34,200
35,200
36,100
40,700
41,600
42,400
43,300
44,200
45,200
46,100
50,700
51,600
52,400
53,300
54,250
55,200
56,100
60,70
61,600
62,70
63,300
64,60
65,200
66,50
70,70
71,60
72,40
73,300
74,200
75,200
76,1000
201,300
202,500
203,800
301,150
302,150
65
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
7,100
8,200
8,300
1,10
1,11
1,12
1,13
1,14
1,15
1,16
2,20
2,21
2,22
2,23
2,24
2,25
2,26
3,30
3,31
3,32
3,33
3,34
3,35
3,36
4,40
4,41
4,42
4,43
4,44
4,45
4,46
5,50
5,51
5,52
5,53
5,54
5,55
5,56
6,60
6,61
6,62
6,63
6,64
6,65
6,66
100,70
100,71
100,72
100,73
100,74
100,75
100,76
200,201
200,202
200,203
300,301
300,302
